,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
407,10.0,1,3.0,0.0,1,2.0,0.0,1
408,6.0,1,2.0,0.0,1,0.0,2.0,0
409,5.0,1,3.0,0.0,1,3.0,1.0,1
410,5.0,1,1.0,0.0,1,1.0,0.0,1
411,5.0,1,3.0,2.0,1,3.0,2.0,0
412,7.0,1,0.0,2.0,1,2.0,1.0,1
414,1.0,0,9.0,5.0,0,9.0,8.0,0
416,5.0,1,1.0,1.0,1,5.0,2.0,1
417,3.0,0,4.0,5.0,0,13.0,7.0,0
418,3.0,0,8.0,5.0,0,10.0,4.0,0
419,4.0,1,3.0,0.0,1,0.0,0.0,0
420,2.0,0,8.0,4.0,0,14.0,9.0,0
421,0.0,0,4.0,7.0,0,13.0,9.0,0
422,6.0,1,2.0,0.0,1,2.0,2.0,0
423,4.0,1,2.0,0.0,1,1.0,2.0,0
424,1.0,0,4.0,7.0,0,12.0,3.0,0
429,1.0,0,9.0,6.0,0,14.0,9.0,0
430,2.0,0,5.0,5.0,0,8.0,9.0,0
431,3.0,0,4.0,7.0,0,9.0,8.0,0
432,8.0,1,2.0,2.0,1,4.0,2.0,0
433,2.0,0,8.0,7.0,0,12.0,5.0,0
434,6.0,1,1.0,1.0,1,1.0,0.0,1
435,1.0,0,4.0,4.0,0,11.0,6.0,0
436,3.0,0,7.0,7.0,0,9.0,8.0,0
437,1.0,0,6.0,7.0,0,12.0,6.0,0
438,0.0,0,9.0,4.0,0,6.0,3.0,0
439,2.0,0,9.0,4.0,0,9.0,7.0,0
440,0.0,0,6.0,6.0,0,11.0,5.0,1
441,4.0,1,1.0,0.0,1,0.0,2.0,1
442,5.0,1,3.0,2.0,1,2.0,1.0,1
445,10.0,1,1.0,2.0,1,0.0,0.0,1
446,4.0,1,3.0,0.0,1,2.0,3.564726631393298,1
447,5.0,1,1.0,1.0,1,4.0,0.0,1
449,7.0,1,1.0,1.0,1,3.0,2.0,1
450,6.0,1,3.0,2.0,1,0.0,2.0,1
453,3.0,0,6.0,5.0,0,8.0,6.0,0
454,3.0,0,6.0,7.0,0,8.0,4.0,0
455,2.0,0,6.0,7.0,0,12.0,6.0,0
457,2.0,0,7.0,4.0,0,14.0,4.0,0
459,10.0,1,3.0,1.0,1,0.0,0.0,1
460,1.0,0,4.0,7.0,0,10.0,7.0,0
461,3.0,0,6.0,6.0,0,14.0,3.0,0
462,2.0,0,6.0,7.0,0,6.268862911795962,6.0,0
463,3.0,0,9.0,7.0,0,6.0,6.0,0
464,2.0,0,4.0,7.0,0,9.0,8.0,0
465,3.0,0,7.0,5.0,0,8.0,8.0,0
467,11.0,1,1.0,1.0,1,1.0,3.564726631393298,1
468,6.0,1,3.0,0.0,1,0.0,0.0,1
470,6.0,1,0.0,0.0,1,3.0,2.0,1
471,2.0,0,9.0,6.0,0,11.0,8.0,0
472,1.0,0,3.963354474982382,5.0,0,8.0,8.0,0
473,11.0,1,2.0,2.0,1,1.0,0.0,1
474,1.0,0,4.0,7.0,0,6.0,7.0,0
476,3.0,0,4.0,7.0,0,6.0,6.0,0
478,9.0,1,2.0,0.0,1,4.0,0.0,1
480,3.0,0,8.0,4.0,0,12.0,3.0,0
481,11.0,1,2.0,1.0,1,0.0,1.0,1
482,2.0,0,9.0,5.0,0,8.0,8.0,0
483,3.0,0,5.0,7.0,0,11.0,9.0,0
485,5.0,1,0.0,0.0,1,0.0,2.0,1
487,6.0,1,1.0,0.0,1,4.0,1.0,1
488,10.0,1,0.0,0.0,1,3.0,0.0,1
491,2.0,0,9.0,6.0,0,14.0,4.0,0
492,2.0,0,9.0,4.0,0,11.0,4.0,0
493,5.0,1,1.0,0.0,1,3.0,1.0,1
495,4.0,1,3.0,0.0,1,3.0,0.0,1
496,2.0,0,7.0,5.0,0,9.0,8.0,0
498,1.0,0,7.0,5.0,0,8.0,3.0,0
499,3.0,0,6.0,7.0,0,12.0,4.0,0
501,2.0,0,4.0,7.0,0,10.0,3.0,0
502,1.0,0,5.0,4.0,0,7.0,8.0,0
507,10.0,1,0.0,1.0,1,5.0,1.0,1
509,2.0,0,7.0,4.0,0,10.0,9.0,0
510,1.0,0,5.0,5.0,0,10.0,6.0,0
511,5.0,1,3.0,2.0,1,1.0,1.0,1
512,6.0,1,1.0,0.0,1,4.0,0.0,1
513,7.0,1,3.0,2.0,1,1.0,0.0,1
515,1.0,0,6.0,7.0,0,6.0,3.0,0
516,8.0,1,2.0,2.0,1,4.0,2.0,1
517,0.0,0,4.0,7.0,0,7.0,7.0,0
520,4.505816002819881,0,9.0,5.0,0,8.0,3.0,0
522,0.0,0,6.0,4.0,0,13.0,6.0,1
523,4.0,1,0.0,0.0,1,0.0,1.0,1
524,8.0,1,0.0,2.0,1,0.0,2.0,1
526,4.505816002819881,1,3.0,2.0,1,5.0,0.0,1
528,2.0,0,4.0,5.0,0,6.0,3.564726631393298,0
529,1.0,0,7.0,7.0,0,14.0,8.0,0
532,2.0,0,7.0,6.0,0,10.0,7.0,0
533,2.0,0,7.0,4.0,0,9.0,5.0,1
534,8.0,1,3.0,0.0,1,0.0,2.0,1
535,8.0,1,0.0,1.0,1,1.0,2.0,1
537,2.0,0,8.0,6.0,0,7.0,9.0,0
538,3.0,0,4.0,5.0,0,6.0,7.0,0
540,4.0,1,1.0,2.0,1,1.0,1.0,1
542,11.0,1,3.0,0.0,1,0.0,1.0,1
543,3.0,0,4.0,6.0,0,12.0,3.0,0
545,6.0,1,0.0,1.0,1,2.0,1.0,0
547,0.0,0,8.0,5.0,0,9.0,6.0,0
548,11.0,1,0.0,2.0,1,0.0,2.0,1
549,4.0,1,2.0,0.0,1,3.0,1.0,1
550,0.0,0,7.0,4.0,0,14.0,3.564726631393298,1
551,1.0,0,8.0,5.0,0,10.0,8.0,0
552,8.0,1,2.0,0.0,1,3.0,2.0,1
553,6.0,1,3.0,0.0,1,1.0,2.0,1
555,9.0,1,1.0,2.0,1,0.0,2.0,1
557,3.0,0,5.0,7.0,0,9.0,4.0,0
558,11.0,1,1.0,1.0,1,3.0,0.0,0
559,4.0,1,3.0,2.0,1,5.0,2.0,1
560,4.0,1,0.0,0.0,1,4.0,0.0,1
561,3.0,0,8.0,4.0,0,8.0,7.0,0
562,9.0,1,1.0,2.0,1,4.0,2.0,1
563,0.0,0,3.963354474982382,5.0,0,13.0,8.0,0
564,1.0,0,6.0,4.0,0,10.0,9.0,0
566,11.0,1,2.0,0.0,1,2.0,0.0,1
567,1.0,0,4.0,5.0,0,6.0,7.0,1
568,4.0,1,1.0,0.0,1,2.0,2.0,0
569,4.0,0,0.0,2.0,1,5.0,0.0,1
570,0.0,0,8.0,5.0,0,8.0,7.0,0
571,2.0,0,8.0,4.0,0,10.0,4.0,1
572,5.0,1,2.0,0.0,1,4.0,1.0,1
573,0.0,0,9.0,4.0,0,8.0,7.0,0
574,0.0,0,7.0,5.0,0,6.0,3.0,0
575,11.0,1,3.0,1.0,1,6.268862911795962,2.0,1
576,11.0,1,2.0,1.0,1,1.0,1.0,1
577,9.0,1,1.0,2.0,1,2.0,1.0,1
578,7.0,1,0.0,1.0,1,3.0,0.0,1
579,9.0,1,1.0,2.0,1,0.0,0.0,1
580,3.0,0,8.0,4.0,0,7.0,5.0,0
582,1.0,0,5.0,5.0,0,8.0,9.0,1
584,11.0,1,2.0,1.0,1,1.0,2.0,1
586,3.0,0,4.0,5.0,0,6.0,6.0,0
587,7.0,1,3.0,0.0,1,6.268862911795962,1.0,1
589,6.0,1,3.0,2.0,1,2.0,2.0,1
593,2.0,0,6.0,4.0,0,10.0,4.0,0
596,1.0,0,9.0,5.0,0,6.0,8.0,0
597,5.0,1,0.0,2.0,1,0.0,1.0,1
598,0.0,0,4.0,5.0,0,13.0,8.0,0
599,2.0,0,8.0,4.0,0,9.0,3.0,0
600,3.0,0,4.0,6.0,0,9.0,9.0,0
604,10.0,1,3.0,3.0,1,1.0,1.0,1
605,9.0,1,2.0,2.0,1,0.0,2.0,1
606,8.0,1,3.0,1.0,1,0.0,0.0,1
608,4.0,1,0.0,0.0,1,3.0,1.0,1
609,2.0,0,4.0,4.0,0,7.0,9.0,0
611,3.0,0,4.0,7.0,0,8.0,4.0,0
612,4.0,1,0.0,1.0,1,3.0,1.0,1
613,11.0,1,1.0,2.0,1,2.0,3.564726631393298,1
614,1.0,0,8.0,4.0,0,6.0,7.0,0
615,1.0,0,8.0,5.0,0,11.0,9.0,0
616,3.0,0,7.0,5.0,0,13.0,9.0,0
617,0.0,0,6.0,6.0,0,13.0,7.0,0
619,7.0,1,3.0,2.0,1,3.0,2.0,1
620,1.0,0,9.0,4.0,0,13.0,8.0,0
621,2.0,0,9.0,4.0,0,7.0,9.0,0
622,6.0,1,3.0,1.0,1,2.0,0.0,1
624,6.0,1,3.0,0.0,1,3.0,0.0,1
625,3.0,0,4.0,5.0,0,11.0,7.0,0
627,2.0,0,6.0,4.0,0,11.0,4.0,0
628,11.0,1,1.0,0.0,1,1.0,1.0,1
629,0.0,0,5.0,7.0,0,6.0,9.0,0
630,8.0,1,0.0,0.0,1,0.0,2.0,0
631,10.0,1,3.0,1.0,1,2.0,1.0,1
632,2.0,0,4.0,4.0,0,7.0,8.0,0
635,11.0,1,2.0,0.0,1,4.0,1.0,1
636,3.0,0,9.0,6.0,0,6.268862911795962,7.0,0
638,1.0,0,7.0,4.0,0,14.0,4.0,0
